Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Year
19,Miami FL,110.2,89.4,0.917,4–2,4,6,49.9,48.3,24.5,26.9,13.0,20.2,18.9,31.9,68.1,55.2,50.4,25.9,29.3,10.7,12.1,56.2,56.1,32.7,32.2,67.9,76.713,80.224,2.424,2.07,2.379,65.462,69.0,61.9,0.995,0.98,46.258,2022
20,Davidson,117.4,96.2,0.908,2–2,2,4,54.1,47.1,30.8,29.6,12.4,14.7,18.1,21.0,66.3,51.5,51.9,38.5,26.9,7.5,9.2,56.9,45.7,41.2,41.2,65.9,78.038,80.984,2.001,-0.631,-0.621,36.235,79.4,74.6,1.105,0.992,24.101,2022
21,Baylor,115.2,94.4,0.908,1–2,1,3,47.8,51.8,32.0,35.8,12.5,24.1,33.6,30.3,68.7,53.5,46.4,26.7,39.7,13.4,7.0,54.8,65.3,43.0,41.2,68.3,77.617,81.058,1.781,-1.528,-2.35,55.889,73.4,72.9,1.103,0.992,34.243,2022
22,Michigan,111.5,91.6,0.906,2–2,2,4,48.4,46.4,34.8,20.2,18.5,13.7,29.1,25.7,67.5,48.4,45.6,32.4,31.6,13.4,10.5,56.3,59.6,30.8,39.7,69.1,78.228,82.778,1.413,1.074,1.393,72.575,79.2,78.0,1.018,0.992,50.402,2022
23,Purdue,117.8,96.8,0.905,4–2,4,6,50.6,46.1,48.4,21.4,19.1,11.4,37.7,26.4,65.6,53.5,47.2,30.5,29.7,8.3,9.1,51.4,53.6,37.3,38.8,66.5,78.453,82.01,1.778,0.075,0.136,60.487,73.9,68.8,1.101,1.017,33.582,2022
24,Chattanooga,106.1,87.5,0.902,3–1,3,4,47.6,49.3,28.3,30.1,16.3,17.5,31.9,18.8,62.5,52.3,54.7,25.3,28.1,4.3,6.5,37.0,42.7,32.6,43.2,62.9,77.024,79.374,2.605,-0.326,-0.25,20.793,73.8,58.1,1.038,0.929,23.812,2022
25,Texas,116.4,96.0,0.902,1–2,1,3,50.3,52.1,26.8,68.8,14.1,19.1,28.4,31.3,66.3,43.6,51.5,40.6,35.7,8.1,11.8,59.2,43.9,38.5,29.8,68.5,76.788,79.048,2.664,-0.042,-0.079,78.557,66.7,74.2,1.066,1.101,50.602,2022
26,Michigan St.,117.4,98.2,0.886,3–2,3,5,51.7,51.2,24.4,32.8,12.5,12.2,27.8,28.1,65.8,52.0,51.4,34.0,33.9,12.2,9.2,51.1,51.5,34.4,38.9,66.7,78.586,81.359,1.746,0.278,0.093,75.799,76.7,67.0,1.11,1.119,44.159,2022
27,Arkansas,105.6,88.4,0.885,4–2,4,6,44.4,48.2,35.3,32.6,15.4,18.7,21.3,21.6,71.5,47.0,48.9,26.4,31.3,11.1,8.3,51.4,46.6,34.5,33.8,70.9,76.757,79.641,2.292,1.752,1.464,47.294,82.3,77.5,0.965,0.965,47.039,2022
28,Arizona,118.7,99.7,0.881,5–1,5,6,54.0,48.6,37.8,28.5,20.9,15.1,35.5,29.5,70.2,53.3,42.9,36.9,38.6,13.9,10.6,62.7,53.8,35.0,37.9,71.2,79.442,83.03,1.191,-0.226,-1.35,69.26,79.5,71.6,1.12,1.046,37.317,2022
29,Akron,111.3,93.6,0.88,3–1,3,4,52.9,47.4,28.7,28.3,18.3,19.9,28.7,32.1,61.6,48.1,45.7,40.8,33.8,9.4,9.0,38.9,45.5,36.4,34.9,61.0,76.279,80.08,1.974,-0.118,-0.25,14.226,78.3,68.3,1.087,0.982,26.62,2022
30,San Diego St.,101.4,85.3,0.88,2–2,2,4,46.1,47.0,26.3,34.3,22.4,24.3,33.3,30.3,61.6,44.1,52.0,33.8,25.4,15.0,5.3,56.2,53.6,30.0,35.9,63.9,77.275,80.352,2.481,-0.844,-0.7,31.863,64.9,63.2,0.931,0.899,33.403,2022
31,Connecticut,115.7,98.1,0.87,1–2,1,3,45.0,50.0,23.5,18.8,14.3,16.0,39.0,26.3,58.4,42.9,40.4,32.3,42.4,16.0,9.5,57.6,48.5,38.2,41.3,60.1,78.16,81.0,2.112,-1.161,-1.114,54.692,80.0,83.3,1.056,1.056,39.309,2022
32,UAB,117.6,100.7,0.856,3–1,3,4,54.1,49.1,42.7,30.7,20.0,16.0,33.3,30.9,68.8,51.7,53.8,38.5,28.0,8.1,12.6,36.7,44.0,38.9,40.1,69.4,76.646,80.366,2.645,-0.223,-0.514,28.246,79.0,69.5,1.106,1.063,31.579,2022
33,Ohio St.,107.8,92.5,0.853,1–2,1,3,47.7,45.7,32.2,30.9,20.0,15.7,31.5,27.2,61.7,51.5,44.6,27.3,31.4,13.0,3.1,43.1,49.2,36.2,43.2,65.9,77.248,79.752,1.936,0.182,0.093,66.738,77.6,70.0,0.989,0.989,39.943,2022
34,Notre Dame,115.6,99.5,0.849,2–2,2,4,55.0,52.0,27.9,21.8,16.6,14.8,21.4,28.6,65.4,53.1,51.5,39.0,35.3,3.7,11.6,48.2,51.8,35.8,34.3,65.9,78.08,80.4,2.393,0.561,0.393,72.248,75.0,72.2,1.085,1.074,46.548,2022
35,Providence,105.5,91.0,0.846,3–2,3,5,43.5,45.1,30.8,35.6,13.0,13.3,29.6,24.6,66.0,44.1,52.2,28.4,21.6,7.7,14.0,49.6,41.9,38.4,35.9,65.9,77.714,80.621,2.733,0.977,0.464,42.028,71.0,63.4,0.997,0.969,33.437,2022
36,Saint Peter's,104.4,90.2,0.843,6–1,6,7,47.4,41.4,38.5,44.7,15.7,17.6,25.4,31.9,64.5,45.0,42.9,35.0,25.9,15.1,11.1,49.1,57.9,30.9,35.5,64.7,76.197,79.399,1.895,2.817,2.936,0.2,77.4,74.1,1.026,0.959,32.483,2022
37,Colgate,114.7,99.8,0.832,3–1,3,4,61.5,45.4,28.1,16.1,16.7,16.4,23.7,29.7,65.7,53.2,41.3,51.3,35.2,10.6,7.1,68.4,53.6,35.0,35.5,66.1,77.075,80.565,2.413,-0.258,-0.164,0.2,72.1,72.5,1.183,0.966,11.623,2022
38,Indiana,108.2,94.2,0.831,3–2,3,5,46.9,50.9,29.0,31.7,14.9,17.9,27.1,27.1,67.1,47.5,46.1,29.9,38.6,11.4,7.2,58.7,57.9,23.1,40.6,67.8,78.018,80.526,2.053,-0.423,-0.514,72.37,75.0,74.2,0.998,1.049,45.545,2022
39,San Francisco,110.6,97.0,0.819,1–2,1,3,50.0,51.4,37.4,44.1,13.0,16.1,24.4,23.5,71.4,54.1,59.3,30.3,22.2,9.8,12.2,33.8,54.1,47.6,30.5,69.7,77.33,81.411,2.568,-0.985,-0.621,3.516,65.7,69.2,1.044,1.058,45.602,2022
40,Boise St.,103.4,90.9,0.815,3–1,3,4,47.3,47.7,38.6,24.5,20.3,19.9,27.3,29.0,64.1,46.9,46.0,31.9,34.3,6.7,7.7,53.6,50.5,35.6,31.8,63.5,78.468,80.519,2.402,-0.481,-0.7,32.117,69.2,66.7,0.956,0.96,33.625,2022
41,Rutgers,119.7,105.8,0.805,0–2,0,2,54.0,55.6,14.7,34.4,12.6,11.2,31.9,25.8,63.8,54.5,59.5,35.4,31.7,9.5,6.8,56.9,50.8,35.3,32.8,63.3,78.702,80.718,2.135,0.0,0.0,51.706,70.0,79.1,1.13,1.214,48.89,2022
42,Delaware,103.5,91.6,0.803,3–1,3,4,47.1,44.7,37.6,26.7,16.9,17.3,28.9,29.5,63.5,53.8,46.3,21.5,28.1,9.6,6.9,42.4,35.2,31.0,39.6,66.0,77.165,80.382,2.079,-0.111,-0.064,13.46,70.9,76.7,1.0,0.972,27.462,2022
43,Murray St.,116.1,103.5,0.789,3–1,3,4,50.6,50.7,46.4,43.5,17.2,13.2,36.4,24.1,67.7,48.0,54.7,36.8,29.7,10.8,16.9,47.6,46.6,37.0,39.6,67.1,76.615,79.972,2.121,0.419,0.093,18.119,67.0,65.0,1.112,1.066,21.117,2022
44,Georgia St.,113.9,102.0,0.781,3–1,3,4,44.8,48.6,36.5,32.7,13.2,17.7,30.8,36.7,68.0,37.9,46.4,41.8,35.4,13.3,10.9,62.8,45.7,27.8,32.2,66.4,75.872,79.491,2.162,-0.059,-0.007,28.01,81.8,67.5,1.059,1.074,26.068,2022
45,Kentucky,114.1,102.7,0.77,1–2,1,3,45.4,53.2,37.6,32.7,16.5,18.4,35.1,25.5,68.0,47.8,46.8,26.0,43.3,18.0,8.1,60.3,51.3,26.9,35.1,68.4,76.828,80.438,1.856,-2.031,-2.371,74.515,70.0,76.8,1.026,1.059,38.247,2022
46,Colorado St.,104.5,94.2,0.767,1–2,1,3,47.8,50.3,24.7,32.7,18.8,22.0,23.5,34.9,62.1,52.4,57.3,28.4,23.4,3.9,8.3,56.9,65.7,46.8,31.3,63.1,75.69,78.681,2.004,-0.535,-1.079,19.502,59.0,77.6,0.933,1.014,39.09,2022
47,LSU,104.7,94.7,0.76,1–2,1,3,47.3,47.3,49.0,34.5,23.9,23.5,25.3,34.3,69.6,55.6,46.2,22.8,32.5,14.3,13.3,65.1,62.7,38.8,45.8,69.2,77.616,80.415,1.196,-1.184,-1.079,72.652,80.6,81.0,0.943,0.986,31.505,2022
48,Illinois,98.2,88.9,0.758,1–2,1,3,41.6,43.6,39.4,24.4,20.2,13.5,26.1,29.9,64.3,42.9,44.4,26.6,27.7,8.3,8.8,69.6,44.4,41.3,26.1,66.2,77.299,81.538,2.241,-0.14,-0.536,54.781,67.2,65.9,0.881,0.964,46.557,2022
49,Richmond,103.5,94.2,0.747,5–1,5,6,46.2,49.7,43.9,23.8,13.8,19.1,18.4,26.0,66.3,49.0,52.3,27.3,30.7,6.0,11.8,50.8,51.4,35.0,40.8,67.0,76.674,80.409,2.623,0.771,0.486,15.581,71.7,71.3,0.978,0.983,35.594,2022
50,South Dakota St.,112.1,103.0,0.726,3–1,3,4,53.3,51.9,32.6,19.4,11.4,15.6,26.4,23.1,65.8,50.6,50.7,39.2,36.3,4.6,4.5,44.4,41.5,32.2,34.5,66.1,76.682,79.114,2.058,-0.448,-0.25,0.603,76.0,73.3,1.148,1.042,14.527,2022
51,USC,100.7,92.7,0.722,1–2,1,3,52.6,43.8,29.9,38.1,25.1,10.0,27.4,18.7,66.4,49.5,45.0,38.6,27.1,8.3,9.3,54.3,49.3,37.0,28.6,65.9,79.116,81.678,2.119,-0.625,-0.907,59.267,60.9,79.7,0.954,0.994,38.786,2022
52,Cal St. Fullerton,103.7,96.1,0.706,3–1,3,4,49.8,47.8,29.8,17.1,18.0,20.7,30.2,33.1,64.1,41.3,44.6,45.6,34.7,4.6,13.3,50.5,59.8,31.2,43.0,63.6,76.432,79.152,2.33,-0.057,-0.064,12.413,72.3,82.1,1.03,0.976,22.535,2022
53,Wisconsin,97.2,90.3,0.7,1–2,1,3,41.1,44.3,34.3,28.1,14.8,16.9,25.6,26.0,65.1,44.3,44.2,23.8,29.8,10.0,10.4,56.5,55.2,37.3,28.1,65.3,78.364,82.342,1.462,-0.385,-0.864,62.378,69.0,74.5,0.916,0.936,29.091,2022
54,Auburn,101.2,94.5,0.687,1–2,1,3,40.5,46.5,29.4,25.0,15.9,13.5,38.6,23.9,69.1,40.9,44.5,26.7,33.9,20.3,10.4,64.3,51.3,42.8,30.4,69.9,77.548,82.667,1.348,-1.287,-1.371,61.608,67.8,78.3,0.979,0.998,30.369,2022
55,Alabama,100.7,94.4,0.678,0–2,0,2,44.3,55.6,31.3,52.3,20.8,18.9,33.3,16.1,76.8,46.6,47.7,27.6,45.2,6.2,5.5,64.0,52.0,44.3,39.3,77.6,77.122,79.948,1.646,-0.797,-1.079,62.2,58.5,73.2,0.912,1.042,34.999,2022
56,Iowa St.,88.0,82.8,0.668,2–2,2,4,40.0,46.6,17.4,38.0,22.8,23.9,25.8,27.5,67.9,42.4,52.9,24.5,25.0,9.1,14.4,66.3,62.4,42.6,41.0,67.8,76.518,79.663,2.195,1.258,1.393,47.374,65.0,69.2,0.773,0.902,47.316,2022
57,Wyoming,96.8,91.1,0.668,1–2,1,3,47.0,44.2,31.6,31.6,26.1,14.6,27.6,25.0,66.4,49.4,50.0,29.2,20.8,1.7,10.3,45.2,45.7,42.8,31.0,67.6,78.721,80.509,1.816,0.0,0.0,1.779,72.9,72.2,0.893,0.954,34.232,2022
58,Wright St.,109.6,103.7,0.654,4–1,4,5,49.5,50.5,38.9,31.4,15.5,18.6,33.0,32.2,70.8,44.9,54.9,39.6,27.4,7.4,13.2,58.5,37.0,31.9,31.8,69.0,76.961,79.768,1.581,-0.033,-0.007,9.944,80.3,72.3,1.107,1.045,18.865,2022
59,Bryant,102.5,98.1,0.624,3–1,3,4,49.6,44.3,32.9,23.7,21.5,17.5,36.5,30.1,69.8,55.7,42.0,26.1,32.5,14.8,10.7,33.0,53.7,37.1,33.9,71.0,76.94,78.679,2.521,0.0,0.0,3.998,76.9,81.0,1.056,0.945,4.541,2022
60,Longwood,107.9,103.8,0.61,3–1,3,4,50.7,55.6,40.3,19.7,18.5,20.0,33.6,21.3,65.5,44.4,56.9,41.6,36.0,4.1,13.9,56.3,63.2,34.8,44.8,64.7,75.561,78.467,2.05,-0.087,-0.164,4.353,77.5,75.0,1.085,1.04,20.629,2022
61,Yale,95.1,92.0,0.594,2–1,2,3,48.8,48.5,22.5,28.8,17.2,14.7,22.1,23.4,65.9,47.4,48.9,34.5,32.1,10.9,8.8,45.2,54.3,32.5,45.9,66.1,76.299,78.217,1.898,-0.097,-0.164,9.416,63.2,77.6,0.956,1.027,27.238,2022
62,Texas A&M Corpus Chris,97.7,95.3,0.571,3–1,3,4,49.0,42.5,29.3,43.8,17.5,17.5,28.2,23.4,71.5,47.1,41.2,35.7,29.5,5.3,11.6,62.3,51.2,28.9,42.0,69.5,75.778,78.731,2.352,0.0,0.0,3.592,69.0,73.7,1.0,0.927,5.135,2022
63,Montana St.,108.5,107.0,0.54,3–1,3,4,56.1,50.0,45.1,37.3,19.1,15.4,24.5,27.1,68.1,54.6,49.3,39.2,34.2,9.9,8.5,38.0,37.0,36.3,32.4,67.8,76.746,80.128,1.961,-0.064,-0.164,7.356,78.3,77.4,1.105,1.065,21.41,2022
64,Texas Southern,94.1,92.8,0.54,4–1,4,5,46.1,43.3,34.9,30.1,20.4,17.6,28.3,24.9,71.7,44.9,40.8,32.9,33.0,14.7,6.5,45.1,44.3,26.0,29.4,71.0,77.009,80.4,2.813,-0.022,-0.007,16.145,75.5,63.3,0.965,0.881,17.464,2022
65,Jacksonville St.,99.6,100.5,0.474,1–2,1,3,45.5,48.8,29.7,27.3,17.5,19.0,27.0,34.5,64.8,50.5,42.4,25.0,38.4,8.1,10.9,53.7,58.6,38.8,42.4,66.1,76.546,80.43,2.546,-0.121,-0.064,6.265,81.6,70.2,0.978,1.034,22.333,2022
66,Norfolk St.,98.8,105.6,0.318,3–1,3,4,49.0,48.9,38.5,28.6,25.9,18.1,36.3,31.5,67.6,48.1,52.8,33.8,29.7,14.6,11.5,52.8,62.2,37.0,47.4,64.9,76.636,79.263,2.43,-0.043,-0.007,7.809,78.8,62.7,0.987,1.002,18.29,2022
67,Seton Hall,84.6,92.3,0.269,1–2,1,3,40.9,43.8,16.4,21.6,20.8,20.8,24.6,42.0,62.5,35.3,41.3,33.3,32.7,16.5,14.7,43.9,51.5,38.2,31.3,62.7,78.886,82.244,2.526,-0.496,-0.7,67.935,59.3,78.9,0.806,0.982,31.693,2022
68,Marquette,97.2,107.0,0.249,0–2,0,2,43.9,55.0,12.2,23.7,17.2,18.6,23.5,37.1,72.6,44.4,53.2,28.8,38.5,11.4,9.7,51.0,69.4,45.0,39.7,71.1,77.866,80.422,1.239,-0.322,-0.6,58.313,68.8,80.6,0.868,1.164,43.087,2022
1,Villanova,133.8,91.0,0.988,9–0,9,9,58.8,45.8,31.5,30.2,16.9,16.6,34.8,27.4,67.0,54.2,47.5,42.1,28.7,11.2,9.2,51.8,46.4,51.0,38.5,67.9,77.329,79.488,1.313,2.467,2.65,80.592,81.4,76.6,1.246,0.985,44.575,2018
2,Michigan,114.3,85.5,0.966,9–1,9,10,51.8,44.1,38.8,29.5,13.7,18.3,23.2,27.4,66.4,55.8,45.5,30.9,27.3,6.7,9.3,47.0,38.3,42.1,32.0,66.4,77.771,81.526,1.626,2.847,3.136,56.368,66.5,75.1,1.067,0.939,45.893,2018
3,Kentucky,123.9,94.3,0.959,5–1,5,6,55.8,43.5,49.7,33.0,16.1,15.6,32.1,33.3,65.3,54.0,40.0,40.5,31.9,11.3,7.5,48.7,44.2,27.1,45.1,66.6,78.862,81.523,0.189,0.638,0.886,95.962,71.4,71.8,1.164,1.003,36.717,2018
4,Duke,122.0,94.0,0.953,4–2,4,6,55.0,48.4,31.1,22.3,17.2,18.4,35.2,35.1,68.2,58.1,50.8,33.6,29.5,7.9,5.1,59.4,68.3,40.2,36.5,68.6,79.097,82.429,0.688,-0.094,0.629,92.943,74.3,63.5,1.155,1.012,38.769,2018
5,Clemson,120.0,92.5,0.952,3–2,3,5,52.5,46.4,32.4,30.0,13.6,13.6,26.5,24.7,69.3,53.0,44.1,34.5,33.1,11.3,6.6,46.3,55.4,38.2,42.3,70.0,77.357,80.314,2.022,0.448,0.886,54.866,79.2,67.4,1.116,1.001,46.202,2018
6,Kansas,124.6,96.2,0.951,7–1,7,8,56.9,50.8,29.0,21.5,16.8,17.0,30.1,30.5,69.4,53.1,51.3,41.7,33.3,7.7,9.0,51.9,47.3,40.0,39.3,69.4,77.704,80.921,1.783,1.779,0.65,80.44,74.1,70.0,1.15,1.056,50.837,2018
7,Houston,115.5,89.7,0.948,3–2,3,5,47.3,43.2,38.9,43.8,13.3,16.6,24.7,28.6,66.3,44.8,42.5,35.2,29.6,8.0,9.4,37.6,51.5,31.4,36.0,68.1,75.56,78.497,2.125,-0.175,-0.079,24.411,74.3,67.2,1.043,0.95,44.476,2018
8,West Virginia,121.4,94.7,0.946,4–2,4,6,50.5,55.0,33.0,38.8,17.2,22.0,36.8,27.9,69.7,47.1,47.3,38.0,43.7,17.6,11.5,54.9,61.4,34.6,42.6,69.5,77.304,80.45,1.669,0.262,0.886,38.54,76.4,72.4,1.126,1.047,46.036,2018
9,San Diego St.,108.8,85.3,0.943,3–1,3,4,50.0,43.8,56.5,29.6,17.5,15.0,28.7,23.0,71.5,52.3,44.2,29.9,28.8,9.2,6.7,49.0,42.1,31.0,32.9,70.9,78.323,82.17,1.608,-0.514,-0.607,61.723,69.7,75.0,1.052,0.933,33.601,2018
10,Tennessee,119.9,94.9,0.936,3–2,3,5,50.0,46.7,31.5,36.3,17.8,18.7,40.5,30.7,62.9,46.4,45.8,37.4,32.3,12.0,10.6,56.1,41.5,37.4,35.9,63.3,76.811,79.896,1.393,-0.983,-0.864,47.881,74.4,74.5,1.122,0.991,34.682,2018
11,North Carolina,116.6,93.2,0.929,4–2,4,6,46.9,46.0,28.0,29.9,15.3,16.3,31.6,25.8,70.6,47.9,42.7,30.1,34.3,7.0,12.5,71.7,53.1,37.8,37.1,71.7,77.462,80.482,1.844,-1.273,-1.371,77.447,77.8,77.8,1.052,0.982,45.745,2018
12,Texas Tech,113.9,91.2,0.928,4–2,4,6,49.0,45.7,33.0,34.9,15.5,17.5,31.1,29.4,65.7,47.3,43.2,35.4,33.6,11.7,12.3,54.0,40.7,28.9,34.3,65.7,77.621,79.516,1.786,1.038,1.136,36.705,68.1,74.6,1.045,1.007,53.445,2018
13,Loyola Chicago,111.2,89.3,0.926,7–1,7,8,54.5,45.6,26.9,20.8,18.4,16.2,20.8,25.2,62.5,55.4,48.6,35.3,27.3,5.8,10.8,62.0,47.0,37.4,38.4,64.5,76.466,78.499,1.803,3.219,3.393,16.801,69.4,72.0,1.024,0.952,35.348,2018
14,Florida St.,108.5,87.7,0.92,3–2,3,5,48.0,46.8,42.3,42.4,19.3,19.6,27.4,29.1,68.3,45.8,44.8,34.7,33.7,21.3,12.3,54.8,44.5,34.7,35.3,68.7,78.496,81.2,1.607,2.032,2.4,59.86,70.7,63.2,1.01,0.948,50.103,2018
15,Seton Hall,126.2,102.1,0.92,1–2,1,3,54.0,55.0,42.0,37.8,16.8,12.9,36.9,27.5,69.6,49.6,58.3,41.3,33.8,5.8,3.5,42.7,48.8,35.8,42.8,68.4,78.034,80.957,2.043,-0.013,0.3,61.137,77.0,63.2,1.183,1.155,49.259,2018
16,Georgia St.,115.6,93.7,0.918,3–1,3,4,53.6,40.3,28.9,44.2,17.8,18.2,25.6,37.4,63.1,51.6,47.3,37.6,21.9,10.7,7.9,44.3,47.4,40.3,48.4,62.7,76.699,78.473,1.916,-0.114,-0.064,31.565,77.0,75.0,1.082,0.979,24.399,2018
17,Xavier,117.1,95.0,0.917,2–2,2,4,52.5,45.9,45.0,34.2,16.2,14.5,29.9,20.1,71.9,50.6,49.7,37.5,26.6,11.4,8.1,54.1,38.4,33.3,38.7,70.2,78.483,80.776,1.844,-1.105,-2.35,76.28,74.1,84.3,1.122,0.99,29.723,2018
18,Davidson,126.2,102.4,0.917,3–1,3,4,57.1,50.7,27.8,34.3,12.5,16.5,19.8,29.6,62.0,50.5,51.1,42.7,33.3,5.2,10.1,62.6,51.1,48.6,35.7,62.5,78.13,80.757,1.744,-0.55,-0.514,20.885,83.1,72.2,1.173,1.068,29.267,2018
19,Gonzaga,115.0,93.4,0.916,5–1,5,6,55.8,46.6,35.7,22.0,16.6,16.1,28.9,23.1,70.2,53.5,45.7,39.6,32.3,7.0,9.9,43.7,43.8,38.6,34.9,71.1,78.446,81.272,1.51,0.278,0.464,73.63,61.3,70.7,1.099,0.963,26.208,2018
20,Virginia,119.2,97.6,0.909,3–1,3,4,51.3,50.8,20.0,34.9,10.8,17.4,25.4,23.1,60.3,52.0,45.0,33.3,37.9,6.0,3.3,47.6,61.7,33.3,48.7,60.0,77.508,80.13,1.72,-3.177,-3.35,71.072,73.3,80.9,1.094,1.048,38.658,2018
21,Florida,113.0,93.7,0.896,1–2,1,3,48.7,47.7,25.0,42.1,14.0,15.5,25.4,31.4,68.9,47.1,47.5,33.7,32.1,15.3,8.8,55.8,47.9,45.7,31.0,68.7,76.89,80.092,1.885,-0.246,-0.079,69.428,68.1,66.7,1.04,1.02,39.258,2018
22,Butler,119.8,99.9,0.89,2–2,2,4,55.0,53.4,23.6,34.5,15.3,15.7,26.8,29.9,65.3,59.1,48.1,32.6,40.4,5.4,8.0,45.9,52.0,40.2,42.2,64.7,76.655,79.774,1.614,-0.077,0.379,52.743,79.6,79.2,1.13,1.145,57.974,2018
23,Purdue,124.4,103.8,0.889,4–2,4,6,55.7,49.3,34.3,32.1,17.2,14.9,29.6,30.0,64.9,51.0,50.2,41.7,31.6,7.0,9.9,44.4,46.4,40.7,33.2,66.1,77.695,82.87,2.106,-0.101,-0.371,59.458,72.1,73.6,1.132,1.076,40.965,2018
24,Providence,108.6,90.9,0.886,2–2,2,4,44.4,48.1,31.0,31.3,12.4,16.7,25.0,30.7,64.5,48.8,49.7,23.8,30.2,7.0,13.7,52.9,50.0,33.3,35.4,63.0,77.674,80.31,1.894,-0.516,-0.621,60.949,74.4,72.4,1.002,1.026,55.988,2018
25,Syracuse,104.7,87.7,0.885,4–2,4,6,45.2,42.7,42.4,32.7,20.3,18.1,33.0,38.1,62.5,46.4,48.1,28.4,24.4,14.2,8.6,41.9,73.2,31.3,46.6,61.2,80.1,82.622,0.961,1.415,1.393,81.271,72.9,70.5,0.985,0.993,48.252,2018
26,Cincinnati,109.0,91.5,0.882,4–1,4,5,45.7,45.7,32.1,19.4,13.7,14.4,38.0,25.0,61.2,48.9,45.9,26.5,30.3,11.8,4.8,58.8,41.4,35.2,39.1,62.4,77.445,80.66,1.731,-1.623,-1.371,63.963,67.7,72.2,1.072,0.961,28.43,2018
27,Ohio St.,118.4,99.7,0.878,1–2,1,3,50.0,51.7,23.4,36.3,13.7,16.5,29.3,33.0,70.6,48.1,43.0,34.8,43.1,10.3,8.3,51.8,48.1,45.2,40.2,69.7,76.726,79.628,1.815,-0.644,-0.114,59.776,78.3,72.3,1.1,1.095,46.743,2018
28,Buffalo,116.4,98.6,0.871,4–1,4,5,53.0,46.6,23.7,32.6,13.2,16.6,35.3,34.0,69.7,50.5,50.0,38.0,26.9,11.4,11.5,45.3,40.8,39.2,34.8,70.0,76.586,80.17,1.751,0.588,0.75,10.891,74.4,74.3,1.168,1.044,24.191,2018
29,Stephen F. Austin,106.0,90.5,0.86,3–1,3,4,48.9,45.4,43.8,45.6,20.0,21.8,33.8,23.4,68.8,46.7,43.1,35.8,32.9,15.4,9.2,52.6,63.0,30.6,36.9,67.2,76.338,79.136,1.934,-0.15,-0.164,16.014,71.9,72.3,1.029,0.927,19.255,2018
30,Murray St.,109.3,93.7,0.855,2–1,2,3,49.4,47.8,33.5,22.3,17.7,16.7,32.1,27.3,65.9,47.9,51.6,34.2,25.5,7.0,13.8,50.0,49.4,43.7,28.5,66.5,76.282,79.963,1.887,-0.269,-0.514,0.2,73.2,70.0,1.041,1.006,31.518,2018
31,South Dakota St.,110.7,95.2,0.85,3–1,3,4,50.0,44.7,33.3,26.5,11.9,13.0,21.1,20.9,73.3,45.0,45.0,37.5,29.6,4.0,11.4,38.1,37.4,44.4,42.0,73.6,76.865,80.096,2.117,-0.28,-0.514,2.923,73.8,80.9,1.071,0.972,22.703,2018
32,UMBC,104.3,90.3,0.84,4–1,4,5,54.1,47.4,32.8,39.6,17.6,19.7,22.3,18.1,66.9,51.6,50.3,38.1,28.4,7.1,5.2,54.8,41.9,43.5,38.0,69.9,75.848,79.973,1.951,0.959,0.993,10.296,59.6,66.7,1.034,0.905,29.692,2018
33,Michigan St.,115.1,99.8,0.838,2–2,2,4,44.7,49.0,24.3,48.8,17.1,13.9,41.4,22.5,62.8,48.0,44.3,26.3,38.6,12.2,7.4,54.2,44.7,39.1,34.8,65.5,77.332,80.792,1.323,-1.104,-0.864,84.499,76.3,72.4,1.043,1.067,35.802,2018
34,Bucknell,117.5,101.9,0.837,3–1,3,4,59.3,46.7,46.2,29.1,15.2,15.6,25.4,31.8,69.0,56.8,47.2,41.7,30.3,10.7,12.0,57.7,48.1,43.4,27.0,69.9,77.029,80.645,1.977,-0.151,-0.164,0.2,70.6,63.4,1.21,0.989,17.181,2018
35,Marshall,115.5,100.2,0.837,4–1,4,5,52.6,49.4,38.9,29.9,15.4,17.7,26.3,37.9,71.4,44.8,49.2,41.5,33.1,9.1,6.7,59.1,52.2,44.4,38.6,70.7,76.631,80.007,1.443,0.744,0.75,2.18,79.8,77.1,1.118,1.096,30.502,2018
36,Penn,106.8,92.7,0.836,2–1,2,3,54.0,44.7,28.2,23.3,17.1,12.2,15.5,17.5,68.3,52.1,43.3,37.7,31.7,5.8,12.8,53.3,32.4,42.3,33.3,68.7,76.057,79.138,1.833,-0.113,-0.007,14.406,69.6,88.1,1.015,0.966,24.807,2018
37,Arizona,113.3,98.5,0.833,3–1,3,4,50.2,53.0,32.7,20.9,13.5,14.9,34.4,19.1,66.7,55.4,55.0,26.0,33.7,9.2,4.2,43.4,44.9,31.4,44.3,65.4,78.636,83.38,1.51,-1.15,-1.536,82.727,72.5,71.4,1.107,1.034,28.032,2018
38,Kansas St.,98.9,86.5,0.824,4–2,4,6,46.1,49.2,32.4,34.3,17.1,21.5,21.5,26.8,66.1,48.0,47.6,28.0,34.4,9.6,7.2,46.7,53.0,32.4,41.2,65.9,77.082,80.352,1.344,2.416,2.4,47.73,66.4,66.1,0.928,0.952,41.718,2018
